packet_count,total_bytes,avg_packet_size,std_packet_size,min_packet_size,max_packet_size,window_duration,avg_inter_arrival,std_inter_arrival,tcp_ratio,udp_ratio,unique_src_ports,unique_dst_ports,bytes_per_second,packets_per_second,burst_ratio,label,file_source,window_id
99,0,0.0,0.0,0,0,2.7748680114746094,0.028314979708924586,0.06168385284469425,1.0,0.0,5,5,0.0,35.67737261398239,0.9081632653061225,1,reels_01,38
110,0,0.0,0.0,0,0,2.103848934173584,0.01930136636856499,0.044314289811605526,1.0,0.0,4,4,0.0,52.28512285898002,0.9174311926605505,1,reels_01,39
1583,0,0.0,0.0,0,0,2.917717933654785,0.0018443223348007492,0.016063302809160292,1.0,0.0,5,5,0.0,542.5473044329224,0.9968394437420987,1,reels_01,40
85,0,0.0,0.0,0,0,2.9133780002593994,0.034683071431659517,0.08300892091587521,1.0,0.0,7,7,0.0,29.17575405334695,0.9285714285714286,1,reels_01,41
21,0,0.0,0.0,0,0,2.7843282222747803,0.139216411113739,0.3100732081970193,1.0,0.0,6,6,0.0,7.542214251897041,0.8,1,reels_01,42
94,0,0.0,0.0,0,0,2.906696081161499,0.03125479657162902,0.07488287765552473,1.0,0.0,10,10,0.0,32.3391222801794,0.9139784946236559,1,reels_01,43
148,0,0.0,0.0,0,0,2.483564853668213,0.016894999004545667,0.08262683862489811,1.0,0.0,6,6,0.0,59.59175971644338,0.9591836734693877,1,reels_01,44
45,0,0.0,0.0,0,0,2.672002077102661,0.06072731993415139,0.1694679602529431,1.0,0.0,5,5,0.0,16.841304273533712,0.8863636363636364,1,reels_01,45
91,0,0.0,0.0,0,0,2.959425926208496,0.032882510291205515,0.09225409987031409,1.0,0.0,4,4,0.0,30.749206862759948,0.9,1,reels_01,46
71,0,0.0,0.0,0,0,2.105639934539795,0.03008057049342564,0.07365312776970409,1.0,0.0,4,4,0.0,33.71896535364563,0.9142857142857143,1,reels_01,47
3614,0,0.0,0.0,0,0,2.9999160766601562,0.0008303116735843222,0.008406857359488084,1.0,0.0,23,17,0.0,1204.7003674927837,0.9991696650982563,1,reels_01,48
971,0,0.0,0.0,0,0,2.8339781761169434,0.0029216269856875703,0.023991707564660958,1.0,0.0,18,19,0.0,342.62790313030695,0.9927835051546392,1,reels_01,49
113,0,0.0,0.0,0,0,2.983694076538086,0.026640125683375766,0.11397190413771058,1.0,0.0,8,8,0.0,37.87251544605786,0.9375,1,reels_01,50
44,0,0.0,0.0,0,0,2.9417688846588135,0.06841322987578637,0.23401964997664446,1.0,0.0,6,5,0.0,14.956987351881358,0.8837209302325582,1,reels_01,51
67,0,0.0,0.0,0,0,2.9986319541931152,0.045433817487774475,0.21554021565017673,1.0,0.0,8,8,0.0,22.343522320673944,0.9393939393939394,1,reels_01,52
63,0,0.0,0.0,0,0,2.952617883682251,0.04762286909164921,0.21657134779907602,1.0,0.0,7,7,0.0,21.33699736365202,0.9516129032258065,1,reels_01,53
95,0,0.0,0.0,0,0,2.8591508865356445,0.03041649879293239,0.06159365494562833,1.0,0.0,8,7,0.0,33.22664796998836,0.8723404255319149,1,reels_01,54
143,0,0.0,0.0,0,0,2.9733991622924805,0.020939430720369582,0.043442176427091105,1.0,0.0,11,11,0.0,48.093105632594416,0.9436619718309859,1,reels_01,55
1219,0,0.0,0.0,0,0,2.992968797683716,0.0024572814430900785,0.03718821157788373,1.0,0.0,9,9,0.0,407.28790789379246,0.9958949096880131,1,reels_01,56
147,0,0.0,0.0,0,0,2.990438938140869,0.020482458480416913,0.05940922035490635,1.0,0.0,11,11,0.0,49.156663299531765,0.9383561643835616,1,reels_01,57
109,0,0.0,0.0,0,0,2.8711888790130615,0.026585082213083904,0.06087278948090942,1.0,0.0,9,9,0.0,37.963367996001544,0.9166666666666666,1,reels_01,58
53,0,0.0,0.0,0,0,2.962415933609009,0.05696953718478863,0.14572133749424135,1.0,0.0,4,4,0.0,17.89080304312026,0.8653846153846154,1,reels_01,59
77,0,0.0,0.0,0,0,2.4193100929260254,0.031833027538500334,0.07312910843784921,1.0,0.0,7,7,0.0,31.82725530933186,0.8947368421052632,1,reels_01,60
1264,0,0.0,0.0,0,0,2.989449977874756,0.002366943767121739,0.017416178315256072,1.0,0.0,9,9,0.0,422.8202543461176,0.995249406175772,1,reels_01,61
66,0,0.0,0.0,0,0,2.9733781814575195,0.04574427971473107,0.13167043510458556,1.0,0.0,5,5,0.0,22.196974610087263,0.8461538461538461,1,reels_01,62
190,0,0.0,0.0,0,0,2.4830291271209717,0.01313772024931731,0.04347967033565378,1.0,0.0,7,7,0.0,76.51944068022337,0.9629629629629629,1,reels_01,63
64,0,0.0,0.0,0,0,2.99686598777771,0.04756930139329699,0.16572255947519204,1.0,0.0,6,6,0.0,21.355642948672,0.9206349206349206,1,reels_01,64
84,0,0.0,0.0,0,0,2.9878411293029785,0.03599808589521661,0.1277582589338349,1.0,0.0,5,5,0.0,28.113944605748173,0.9156626506024096,1,reels_01,65
